number_of_features: 6						
number_of_classes: 2						
number_of_samples: 432

a1	a2	a3	a4	f5	a6	class					
1	1	1	1	1	1	c2
1	1	1	1	1	2	c2
1	1	1	1	2	1	c2
1	1	1	1	2	2	c2
1	1	1	1	3	1	c2
1	1	1	1	3	2	c2
1	1	1	1	4	1	c1
1	1	1	1	4	2	c1
1	1	1	2	1	1	c2
1	1	1	2	1	2	c2
1	1	1	2	2	1	c2
1	1	1	2	2	2	c2
1	1	1	2	3	1	c2
1	1	1	2	3	2	c2
1	1	1	2	4	1	c1
1	1	1	2	4	2	c1
1	1	1	3	1	1	c2
1	1	1	3	1	2	c2
1	1	1	3	2	1	c2
1	1	1	3	2	2	c2
1	1	1	3	3	1	c2
1	1	1	3	3	2	c2
1	1	1	3	4	1	c1
1	1	1	3	4	2	c1
1	1	2	1	1	1	c2
1	1	2	1	1	2	c2
1	1	2	1	2	1	c2
1	1	2	1	2	2	c2
1	1	2	1	3	1	c2
1	1	2	1	3	2	c2
1	1	2	1	4	1	c1
1	1	2	1	4	2	c1
1	1	2	2	1	1	c2
1	1	2	2	1	2	c2
1	1	2	2	2	1	c2
1	1	2	2	2	2	c2
1	1	2	2	3	1	c2
1	1	2	2	3	2	c2
1	1	2	2	4	1	c1
1	1	2	2	4	2	c1
1	1	2	3	1	1	c2
1	1	2	3	1	2	c2
1	1	2	3	2	1	c2
1	1	2	3	2	2	c2
1	1	2	3	3	1	c2
1	1	2	3	3	2	c2
1	1	2	3	4	1	c1
1	1	2	3	4	2	c1
1	2	1	1	1	1	c2
1	2	1	1	1	2	c2
1	2	1	1	2	1	c2
1	2	1	1	2	2	c2
1	2	1	1	3	1	c2
1	2	1	1	3	2	c2
1	2	1	1	4	1	c1
1	2	1	1	4	2	c1
1	2	1	2	1	1	c2
1	2	1	2	1	2	c2
1	2	1	2	2	1	c2
1	2	1	2	2	2	c2
1	2	1	2	3	1	c2
1	2	1	2	3	2	c2
1	2	1	2	4	1	c1
1	2	1	2	4	2	c1
1	2	1	3	1	1	c2
1	2	1	3	1	2	c2
1	2	1	3	2	1	c2
1	2	1	3	2	2	c2
1	2	1	3	3	1	c2
1	2	1	3	3	2	c2
1	2	1	3	4	1	c1
1	2	1	3	4	2	c1
1	2	2	1	1	1	c2
1	2	2	1	1	2	c2
1	2	2	1	2	1	c2
1	2	2	1	2	2	c2
1	2	2	1	3	1	c2
1	2	2	1	3	2	c2
1	2	2	1	4	1	c1
1	2	2	1	4	2	c1
1	2	2	2	1	1	c2
1	2	2	2	1	2	c2
1	2	2	2	2	1	c2
1	2	2	2	2	2	c2
1	2	2	2	3	1	c2
1	2	2	2	3	2	c2
1	2	2	2	4	1	c1
1	2	2	2	4	2	c1
1	2	2	3	1	1	c2
1	2	2	3	1	2	c2
1	2	2	3	2	1	c2
1	2	2	3	2	2	c2
1	2	2	3	3	1	c2
1	2	2	3	3	2	c2
1	2	2	3	4	1	c1
1	2	2	3	4	2	c1
1	3	1	1	1	1	c1
1	3	1	1	1	2	c1
1	3	1	1	2	1	c1
1	3	1	1	2	2	c1
1	3	1	1	3	1	c2
1	3	1	1	3	2	c2
1	3	1	1	4	1	c1
1	3	1	1	4	2	c1
1	3	1	2	1	1	c1
1	3	1	2	1	2	c1
1	3	1	2	2	1	c1
1	3	1	2	2	2	c1
1	3	1	2	3	1	c1
1	3	1	2	3	2	c1
1	3	1	2	4	1	c1
1	3	1	2	4	2	c1
1	3	1	3	1	1	c1
1	3	1	3	1	2	c1
1	3	1	3	2	1	c1
1	3	1	3	2	2	c1
1	3	1	3	3	1	c1
1	3	1	3	3	2	c1
1	3	1	3	4	1	c1
1	3	1	3	4	2	c1
1	3	2	1	1	1	c1
1	3	2	1	1	2	c1
1	3	2	1	2	1	c1
