number_of_features: 6						
number_of_classes: 2						
number_of_samples: 250						
Industrial_Risk	Management_Risk	Financial_Flexibility	Credibility	Competitiveness	Operating_Risk	Class
1	1	0	0	0	1	NB
-1	-1	0	0	0	-1	NB
0	0	0	0	0	0	NB
1	1	1	1	1	1	NB
-1	-1	1	1	1	-1	NB
0	0	1	1	1	0	NB
1	1	0	1	1	1	NB
1	1	1	0	0	1	NB
1	1	0	1	0	1	NB
1	1	0	0	1	1	NB
1	1	1	1	0	1	NB
1	1	1	0	1	1	NB
-1	-1	0	1	1	-1	NB
-1	-1	1	0	0	-1	NB
-1	-1	0	1	0	-1	NB
-1	-1	0	1	0	-1	NB
-1	-1	0	0	1	-1	NB
-1	-1	1	1	0	-1	NB
-1	-1	1	0	1	-1	NB
0	0	0	1	1	0	NB
0	0	1	0	0	0	NB
0	0	0	1	0	0	NB
0	0	0	0	1	0	NB
0	0	1	1	0	0	NB
0	0	1	0	1	0	NB
1	-1	0	0	0	1	NB
-1	1	0	0	0	-1	NB
1	-1	0	0	0	-1	NB
1	-1	1	1	1	1	NB
-1	1	1	1	1	-1	NB
1	-1	1	1	1	-1	NB
-1	-1	0	1	1	1	NB
1	-1	1	0	0	1	NB
-1	1	0	1	0	1	NB
-1	1	0	0	1	-1	NB
1	-1	1	1	0	-1	NB
-1	1	1	0	1	0	NB
0	-1	0	1	1	0	NB
0	1	1	0	0	0	NB
0	0	0	1	0	1	NB
0	0	0	0	1	-1	NB
-1	0	1	1	1	-1	NB
0	-1	1	0	1	-1	NB
0	1	1	0	1	-1	NB
-1	-1	1	0	1	1	NB
-1	-1	1	1	1	1	NB
1	0	1	1	1	-1	NB
0	1	1	1	1	-1	NB
0	-1	-1	0	1	1	NB
0	1	1	0	1	1	NB
1	0	1	0	1	-1	NB
0	-1	0	0	1	1	NB
0	-1	0	0	1	-1	NB
0	-1	0	0	1	0	NB
0	0	-1	1	1	0	NB
0	0	-1	1	1	1	NB
0	1	1	1	1	1	NB
0	1	0	0	0	1	NB
-1	1	-1	1	1	0	NB
-1	-1	1	1	1	0	NB
0	0	0	1	1	0	NB
0	0	0	1	1	1	NB
1	0	0	1	1	1	NB
0	-1	-1	1	1	0	NB
1	-1	-1	1	1	0	NB
0	0	-1	1	1	1	NB
1	0	1	-1	1	-1	NB
1	0	-1	0	1	-1	NB
1	1	1	0	1	-1	NB
1	0	1	-1	1	-1	NB
1	0	0	1	1	-1	NB
1	1	0	1	1	1	NB
1	0	1	0	1	1	NB
1	1	0	0	1	-1	NB
0	0	0	0	0	1	NB
1	1	0	1	1	-1	NB
0	1	-1	1	0	1	NB
0	1	0	1	0	1	NB
1	0	-1	0	1	0	NB
0	1	-1	1	0	1	NB
1	0	0	0	1	0	NB
0	1	0	1	0	1	NB
0	1	1	1	1	1	NB
1	0	0	-1	1	1	NB
0	1	0	0	0	1	NB
0	-1	-1	-1	1	1	NB
-1	1	-1	1	1	0	NB
1	-1	0	-1	0	1	NB
-1	-1	1	1	1	0	NB
0	0	0	1	1	0	NB
0	0	0	1	1	1	NB
1	0	0	1	1	1	NB
0	-1	-1	1	1	0	NB
0	0	-1	1	1	1	NB
1	0	1	-1	1	-1	NB
1	1	1	0	1	-1	NB
1	0	1	-1	1	-1	NB
1	0	0	1	1	-1	NB
1	1	0	1	1	1	NB
1	0	1	0	1	1	NB
1	1	0	0	1	-1	NB
0	0	0	0	0	1	NB
1	1	0	1	1	-1	NB
0	1	-1	1	0	1	NB
1	0	0	0	1	0	NB
0	1	0	1	0	1	NB
0	1	-1	1	0	1	NB
0	1	0	1	0	1	NB
1	1	0	0	0	1	NB
-1	-1	0	0	0	-1	NB
0	0	0	0	0	0	NB
1	1	1	1	1	1	NB
-1	-1	1	1	1	-1	NB
0	0	1	1	1	0	NB
1	1	0	1	1	1	NB
1	1	1	0	0	1	NB
1	1	0	1	0	1	NB
1	1	0	0	1	1	NB
1	1	1	1	0	1	NB
1	1	1	0	1	1	NB
-1	-1	0	1	1	-1	NB
-1	-1	1	0	0	-1	NB
-1	-1	0	1	0	-1	NB
-1	-1	0	1	0	-1	NB
-1	-1	0	0	1	-1	NB
-1	-1	1	1	0	-1	NB
-1	-1	1	0	1	-1	NB
0	0	0	1	1	0	NB
0	0	1	0	0	0	NB
0	0	0	1	0	0	NB
0	0	0	0	1	0	NB
0	0	1	1	0	0	NB
0	0	1	0	1	0	NB
1	-1	0	0	0	1	NB
-1	1	0	0	0	-1	NB
1	-1	0	0	0	-1	NB
1	-1	1	1	1	1	NB
-1	1	1	1	1	-1	NB
1	-1	1	1	1	-1	NB
-1	-1	0	1	1	1	NB
1	-1	1	0	0	1	NB
-1	1	0	1	0	1	NB
-1	1	0	0	1	-1	NB
0	-1	-1	-1	-1	0	B
1	-1	-1	-1	-1	-1	B
-1	1	-1	-1	-1	-1	B
0	1	-1	0	-1	-1	B
-1	-1	-1	-1	-1	-1	B
-1	-1	-1	0	-1	0	B
-1	-1	-1	-1	-1	1	B
-1	-1	-1	-1	-1	0	B
-1	-1	-1	0	-1	1	B
-1	-1	-1	0	-1	-1	B
-1	-1	0	-1	-1	-1	B
1	-1	-1	-1	-1	-1	B
0	-1	-1	-1	-1	-1	B
-1	-1	-1	-1	-1	-1	B
1	-1	-1	-1	0	0	B
0	-1	-1	-1	-1	0	B
0	-1	-1	-1	-1	0	B
0	0	-1	-1	-1	1	B
0	-1	-1	-1	-1	-1	B
1	0	-1	-1	-1	0	B
1	-1	-1	-1	-1	1	B
1	0	-1	-1	-1	-1	B
1	-1	-1	-1	-1	-1	B
-1	0	-1	-1	-1	1	B
-1	-1	-1	-1	-1	0	B
0	0	-1	-1	-1	-1	B
0	0	-1	-1	-1	-1	B
1	1	-1	-1	-1	-1	B
0	1	-1	-1	-1	-1	B
1	0	-1	-1	-1	-1	B
0	-1	-1	-1	-1	-1	B
-1	-1	-1	-1	-1	-1	B
-1	0	-1	-1	-1	-1	B
1	-1	-1	-1	-1	-1	B
-1	1	-1	-1	-1	-1	B
0	1	-1	0	-1	-1	B
-1	-1	-1	1	-1	1	B
-1	-1	-1	-1	-1	-1	B
-1	-1	-1	0	-1	0	B
-1	-1	-1	1	-1	-1	B
-1	-1	-1	-1	-1	1	B
-1	-1	-1	-1	-1	0	B
-1	-1	-1	0	-1	1	B
-1	-1	-1	0	-1	-1	B
-1	-1	0	-1	-1	-1	B
1	-1	-1	-1	-1	-1	B
0	-1	-1	-1	-1	-1	B
-1	-1	-1	-1	-1	-1	B
1	-1	-1	-1	0	0	B
1	-1	-1	-1	0	0	B
0	-1	-1	-1	-1	0	B
-1	-1	-1	-1	-1	0	B
-1	1	-1	-1	-1	-1	B
0	1	-1	0	-1	-1	B
-1	-1	-1	-1	-1	-1	B
-1	-1	-1	0	-1	0	B
-1	-1	-1	1	-1	-1	B
-1	-1	-1	-1	-1	1	B
-1	-1	-1	-1	-1	0	B
-1	-1	-1	0	-1	1	B
1	-1	-1	-1	-1	1	B
1	0	-1	-1	-1	-1	B
1	-1	-1	-1	-1	-1	B
-1	0	-1	-1	-1	1	B
-1	-1	-1	-1	-1	0	B
0	0	-1	-1	-1	-1	B
0	0	-1	-1	-1	-1	B
-1	-1	-1	0	-1	-1	B
-1	-1	0	-1	-1	-1	B
1	-1	-1	-1	-1	-1	B
0	-1	-1	-1	-1	-1	B
-1	-1	-1	-1	-1	-1	B
-1	0	1	0	-1	1	B
1	-1	-1	-1	-1	-1	B
-1	0	-1	-1	-1	1	B
-1	-1	-1	-1	-1	0	B
0	0	-1	-1	-1	-1	B
0	0	-1	-1	-1	1	B
0	-1	-1	-1	-1	-1	B
1	0	-1	-1	-1	0	B
1	-1	-1	-1	-1	1	B
1	0	-1	-1	-1	-1	B
1	-1	-1	-1	-1	-1	B
-1	0	-1	-1	-1	1	B
-1	-1	-1	-1	-1	0	B
0	0	-1	-1	-1	-1	B
0	0	-1	-1	-1	-1	B
0	1	-1	-1	-1	-1	B
1	0	-1	-1	-1	-1	B
0	-1	-1	-1	-1	-1	B
-1	-1	-1	-1	-1	-1	B
-1	0	-1	-1	-1	-1	B
0	-1	-1	-1	-1	0	B
1	-1	-1	-1	-1	-1	B
-1	1	-1	-1	-1	-1	B
0	1	-1	0	-1	-1	B
-1	-1	-1	-1	-1	-1	B
-1	-1	-1	0	-1	0	B
-1	-1	-1	-1	-1	1	B
-1	-1	-1	-1	-1	0	B
-1	-1	-1	0	-1	1	B
-1	-1	-1	0	-1	-1	B
-1	-1	0	-1	-1	-1	B
1	-1	-1	-1	-1	-1	B
0	-1	-1	-1	-1	-1	B
-1	-1	-1	-1	-1	-1	B
1	-1	-1	-1	0	0	B
finished						
