number_of_features: 21																					
number_of_classes: 4																					
number_of_samples: 47																					
f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f12	f20	f21	f22	f23	f24	f25	f26	f27	f28	f35	class
4	0	2	1	1	1	0	1	0	2	1	0	3	1	1	1	0	0	0	0	0	c1
5	0	2	1	0	3	1	1	1	2	1	1	3	0	1	1	0	0	0	0	0	c1
3	0	2	1	0	2	0	2	1	1	1	0	3	0	1	1	0	0	0	0	0	c1
6	0	2	1	0	1	1	1	0	0	1	1	3	1	1	1	0	0	0	0	0	c1
4	0	2	1	0	3	0	2	0	2	1	0	3	1	1	1	0	0	0	0	0	c1
5	0	2	1	0	2	0	1	1	0	1	1	3	1	1	1	0	0	0	0	0	c1
3	0	2	1	0	2	1	1	0	1	1	1	3	0	1	1	0	0	0	0	0	c1
3	0	2	1	0	1	0	2	1	2	1	0	3	0	1	1	0	0	0	0	0	c1
6	0	2	1	0	3	0	1	1	1	1	0	3	1	1	1	0	0	0	0	0	c1
6	0	2	1	0	1	0	1	0	2	1	0	3	1	1	1	0	0	0	0	0	c1
6	0	0	2	1	0	2	1	0	0	1	1	0	3	0	0	0	2	1	0	0	c2
4	0	0	1	0	2	3	1	1	1	1	0	0	3	0	0	0	2	1	0	0	c2
5	0	0	2	0	3	2	1	0	2	1	0	0	3	0	0	0	2	1	0	0	c2
6	0	0	1	1	3	3	1	1	0	1	0	0	3	0	0	0	2	1	0	0	c2
3	0	0	2	1	0	2	1	0	1	1	0	0	3	0	0	0	2	1	0	0	c2
4	0	0	1	1	1	3	1	1	1	1	1	0	3	0	0	0	2	1	0	0	c2
3	0	0	1	0	1	2	1	0	0	1	0	0	3	0	0	0	2	1	0	0	c2
5	0	0	2	1	2	2	1	0	2	1	1	0	3	0	0	0	2	1	0	0	c2
6	0	0	2	0	1	3	1	1	0	1	0	0	3	0	0	0	2	1	0	0	c2
5	0	0	2	1	3	3	1	1	2	1	0	0	3	0	0	0	2	1	0	0	c2
0	1	2	0	0	1	1	1	1	1	0	0	1	1	0	1	1	0	0	3	0	c3
2	1	2	0	0	3	1	2	0	1	0	0	1	1	0	1	0	0	0	3	0	c3
2	1	2	0	0	2	1	1	0	2	0	0	1	1	0	1	1	0	0	3	0	c3
0	1	2	0	0	0	1	1	1	2	0	0	1	1	0	1	0	0	0	3	0	c3
0	1	2	0	0	2	1	1	1	1	0	0	1	1	0	1	0	0	0	3	0	c3
4	0	2	0	1	0	1	2	0	2	1	1	1	1	0	1	1	0	0	3	0	c3
2	1	2	0	0	3	1	2	0	2	0	0	1	1	0	1	1	0	0	3	0	c3
0	1	2	0	0	0	1	1	0	1	0	0	1	1	0	1	0	0	0	3	1	c3
3	0	2	0	1	3	1	2	0	1	0	1	1	1	0	1	1	0	0	3	0	c3
0	1	2	0	0	1	1	2	1	2	0	0	1	1	0	1	0	0	0	3	0	c3
2	1	2	1	1	3	1	2	1	2	1	0	2	2	0	1	0	0	0	3	1	c4
0	1	1	1	0	1	1	1	0	0	1	0	1	2	0	0	0	0	0	3	1	c4
3	1	2	0	0	1	1	2	1	0	1	0	2	2	0	0	0	0	0	3	1	c4
2	1	2	1	1	1	1	2	0	2	1	0	1	2	0	1	0	0	0	3	1	c4
1	1	2	0	0	3	1	1	1	2	1	0	2	2	0	0	0	0	0	3	1	c4
1	1	2	1	0	0	1	2	1	1	1	0	2	2	0	0	0	0	0	3	1	c4
0	1	2	1	0	3	1	1	0	0	1	0	1	2	0	0	0	0	0	3	1	c4
2	1	2	0	0	1	1	2	0	0	1	0	1	2	0	0	0	0	0	3	1	c4
3	1	2	0	0	2	1	2	1	1	1	0	2	2	0	0	0	0	0	3	1	c4
3	1	1	0	0	2	1	2	1	2	1	0	2	2	0	0	0	0	0	3	1	c4
0	1	2	1	1	1	1	1	0	0	1	0	1	2	0	1	0	0	0	3	1	c4
1	1	2	1	1	3	1	2	0	1	1	1	1	2	0	1	0	0	0	3	1	c4
1	1	2	0	0	0	1	2	1	0	1	0	2	2	0	0	0	0	0	3	1	c4
1	1	2	1	1	2	3	1	1	1	1	0	2	2	0	1	0	0	0	3	1	c4
2	1	1	0	0	3	1	2	0	2	1	0	1	2	0	0	0	0	0	3	1	c4
0	1	1	1	1	2	1	2	1	0	1	1	2	2	0	1	0	0	0	3	1	c4
0	1	2	1	0	3	1	1	0	2	1	0	1	2	0	0	0	0	0	3	1	c4
finished																					
