number_of_features: 9									
number_of_classes: 2									
number_of_samples: 958									
f1	f2	f3	f4	f5	f6	f7	f8	f9	class
1	1	1	1	-1	-1	1	-1	-1	c1
1	1	1	1	-1	-1	-1	1	-1	c1
1	1	1	1	-1	-1	-1	-1	1	c1
1	1	1	1	-1	-1	-1	0	0	c1
1	1	1	1	-1	-1	0	-1	0	c1
1	1	1	1	-1	-1	0	0	-1	c1
1	1	1	1	-1	0	-1	-1	0	c1
1	1	1	1	-1	0	-1	0	-1	c1
1	1	1	1	-1	0	0	-1	-1	c1
1	1	1	1	0	-1	-1	-1	0	c1
1	1	1	1	0	-1	-1	0	-1	c1
1	1	1	1	0	-1	0	-1	-1	c1
1	1	1	-1	1	-1	1	-1	-1	c1
1	1	1	-1	1	-1	-1	1	-1	c1
1	1	1	-1	1	-1	-1	-1	1	c1
1	1	1	-1	1	-1	-1	0	0	c1
1	1	1	-1	1	-1	0	-1	0	c1
1	1	1	-1	1	-1	0	0	-1	c1
1	1	1	-1	1	0	-1	-1	0	c1
1	1	1	-1	1	0	-1	0	-1	c1
1	1	1	-1	1	0	0	-1	-1	c1
1	1	1	-1	-1	1	1	-1	-1	c1
1	1	1	-1	-1	1	-1	1	-1	c1
1	1	1	-1	-1	1	-1	-1	1	c1
1	1	1	-1	-1	1	-1	0	0	c1
1	1	1	-1	-1	1	0	-1	0	c1
1	1	1	-1	-1	1	0	0	-1	c1
1	1	1	-1	-1	0	1	-1	0	c1
1	1	1	-1	-1	0	1	0	-1	c1
1	1	1	-1	-1	0	-1	1	0	c1
1	1	1	-1	-1	0	-1	0	1	c1
1	1	1	-1	-1	0	0	1	-1	c1
1	1	1	-1	-1	0	0	-1	1	c1
1	1	1	-1	-1	0	0	0	0	c1
1	1	1	-1	0	1	-1	-1	0	c1
1	1	1	-1	0	1	-1	0	-1	c1
1	1	1	-1	0	1	0	-1	-1	c1
1	1	1	-1	0	-1	1	-1	0	c1
1	1	1	-1	0	-1	1	0	-1	c1
1	1	1	-1	0	-1	-1	1	0	c1
1	1	1	-1	0	-1	-1	0	1	c1
1	1	1	-1	0	-1	0	1	-1	c1
1	1	1	-1	0	-1	0	-1	1	c1
1	1	1	-1	0	-1	0	0	0	c1
1	1	1	-1	0	0	1	-1	-1	c1
1	1	1	-1	0	0	-1	1	-1	c1
1	1	1	-1	0	0	-1	-1	1	c1
1	1	1	-1	0	0	-1	0	0	c1
1	1	1	-1	0	0	0	-1	0	c1
1	1	1	-1	0	0	0	0	-1	c1
1	1	1	0	1	-1	-1	-1	0	c1
1	1	1	0	1	-1	-1	0	-1	c1
1	1	1	0	1	-1	0	-1	-1	c1
1	1	1	0	-1	1	-1	-1	0	c1
1	1	1	0	-1	1	-1	0	-1	c1
1	1	1	0	-1	1	0	-1	-1	c1
1	1	1	0	-1	-1	1	-1	0	c1
1	1	1	0	-1	-1	1	0	-1	c1
1	1	1	0	-1	-1	-1	1	0	c1
1	1	1	0	-1	-1	-1	0	1	c1
1	1	1	0	-1	-1	0	1	-1	c1
1	1	1	0	-1	-1	0	-1	1	c1
1	1	1	0	-1	-1	0	0	0	c1
1	1	1	0	-1	0	1	-1	-1	c1
1	1	1	0	-1	0	-1	1	-1	c1
1	1	1	0	-1	0	-1	-1	1	c1
1	1	1	0	-1	0	-1	0	0	c1
1	1	1	0	-1	0	0	-1	0	c1
1	1	1	0	-1	0	0	0	-1	c1
1	1	1	0	0	-1	1	-1	-1	c1
1	1	1	0	0	-1	-1	1	-1	c1
1	1	1	0	0	-1	-1	-1	1	c1
1	1	1	0	0	-1	-1	0	0	c1
1	1	1	0	0	-1	0	-1	0	c1
1	1	1	0	0	-1	0	0	-1	c1
1	1	1	0	0	0	-1	-1	0	c1
1	1	1	0	0	0	-1	0	-1	c1
1	1	1	0	0	0	0	-1	-1	c1
1	1	-1	1	1	-1	-1	-1	1	c1
1	1	-1	1	-1	1	1	-1	-1	c1
1	1	-1	1	-1	-1	1	-1	1	c1
1	1	-1	1	-1	-1	1	0	0	c1
1	1	-1	1	-1	0	1	-1	0	c1
1	1	-1	1	-1	0	1	0	-1	c1
1	1	-1	1	0	-1	1	-1	0	c1
1	1	-1	1	0	0	1	-1	-1	c1
1	1	-1	-1	1	1	-1	1	-1	c1
1	1	-1	-1	1	1	-1	-1	1	c1
1	1	-1	-1	1	-1	1	-1	1	c1
1	1	-1	-1	1	-1	-1	1	1	c1
1	1	-1	-1	1	-1	0	1	0	c1
1	1	-1	-1	1	-1	0	0	1	c1
1	1	-1	-1	1	0	-1	1	0	c1
1	1	-1	-1	1	0	-1	0	1	c1
1	1	-1	-1	1	0	0	1	-1	c1
1	1	-1	-1	1	0	0	-1	1	c1
1	1	-1	0	1	-1	-1	1	0	c1
1	1	-1	0	1	-1	-1	0	1	c1
1	1	-1	0	1	-1	0	-1	1	c1
1	1	-1	0	1	0	-1	1	-1	c1
