number_of_features: 2
f1: sensor reading 1
f2: sensor reading 2
				
number_of_classes: 4
c1: Slight-Right-Turn
c2: Sharp-Right-Turn
c3: Move-Forward
c4: Slight-Left-Turn
				
number_of_samples: 5456
f1	f2	class
1.687	0.445	c1
1.687	0.449	c1
1.687	0.449	c1
1.687	0.449	c1
1.687	0.449	c1
1.686	0.446	c1
1.684	0.451	c1
1.68	0.453	c1
0.753	0.457	c2
0.744	0.462	c2
0.735	0.467	c2
0.729	0.469	c2
0.723	0.477	c2
0.757	0.48	c2
0.76	0.483	c2
0.757	0.482	c2
0.761	0.482	c2
0.762	0.482	c2
0.765	0.482	c2
0.812	0.481	c2
0.814	0.48	c2
0.811	0.479	c2
0.908	0.478	c1
1.27	0.477	c1
1.639	0.476	c1
1.638	0.475	c1
1.637	0.474	c1
1.636	0.475	c1
1.635	0.475	c1
1.635	0.475	c1
1.635	0.475	c1
1.635	0.475	c1
1.633	0.475	c1
1.629	0.474	c1
1.624	0.473	c1
1.618	0.473	c1
1.611	0.473	c1
1.609	0.472	c1
1.603	0.471	c1
0.576	0.471	c2
1.581	0.471	c1
1.572	0.471	c1
1.562	0.47	c1
1.553	0.47	c1
1.179	0.47	c1
1.167	0.47	c1
1.159	0.471	c1
1.151	0.471	c1
1.143	0.471	c1
1.136	0.471	c1
1.128	0.472	c1
1.477	0.472	c1
1.129	0.473	c1
1.457	0.473	c1
1.448	0.474	c1
1.438	0.475	c1
1.428	0.486	c1
1.418	0.485	c1
1.409	0.486	c1
1.399	0.485	c1
1.39	0.486	c1
1.38	0.487	c1
1.37	0.489	c1
1.361	0.491	c1
1.354	0.494	c1
1.344	0.496	c3
1.33	0.498	c3
1.32	0.499	c3
1.31	0.501	c3
1.298	0.504	c3
1.285	0.507	c3
1.271	0.511	c3
1.256	0.515	c3
1.239	0.52	c3
1.223	0.525	c3
1.206	0.53	c3
1.188	0.535	c3
1.17	0.541	c3
1.152	0.548	c3
1.133	0.554	c3
1.114	0.56	c3
1.094	0.567	c3
1.075	0.573	c3
1.056	0.58	c3
1.037	0.586	c3
1.019	0.593	c3
1.001	0.599	c3
0.983	0.606	c3
0.966	0.612	c3
0.948	0.619	c3
0.931	0.625	c3
0.914	0.632	c3
0.898	0.638	c2
0.881	0.645	c2
0.864	0.652	c2
0.847	0.658	c2
0.83	0.66	c2
0.815	0.662	c2
0.801	0.667	c2
0.792	0.67	c2
0.792	0.665	c2
0.795	0.666	c2
0.796	0.665	c2
0.796	0.665	c2
0.796	0.665	c2
0.799	0.664	c2
0.799	0.664	c2
0.798	0.664	c2
0.799	0.664	c2
0.798	0.663	c2
0.797	0.666	c2
0.792	0.671	c2
0.791	0.684	c2
0.79	0.674	c2
0.789	0.66	c2
0.788	0.66	c2
0.787	0.659	c2
0.786	0.661	c2
0.785	0.665	c2
0.788	0.717	c2
0.787	0.833	c2
0.79	0.779	c2
0.814	0.668	c2
0.807	0.809	c2
0.786	0.805	c2
0.785	0.804	c2
0.787	0.854	c2
0.791	0.8	c2
0.794	0.786	c2
0.814	0.78	c2
0.88	0.776	c2
1.593	0.774	c3
1.593	0.77	c3
1.593	0.765	c3
1.593	0.765	c3
1.592	0.763	c3
1.591	0.763	c3
1.59	0.763	c3
1.588	0.763	c3
1.586	0.758	c3
1.576	0.759	c3
1.566	0.753	c3
1.555	0.751	c3
0.932	0.745	c3
1.525	0.739	c3
1.508	0.733	c3
1.494	0.727	c3
1.473	0.721	c3
1.454	0.715	c3
1.438	0.707	c3
1.419	0.7	c3
1.399	0.694	c3
1.379	0.69	c3
1.358	0.683	c3
1.338	0.673	c3
1.317	0.666	c3
0.891	0.663	c2
1.276	0.652	c3
1.255	0.645	c3
1.233	0.638	c3
1.212	0.627	c3
1.193	0.623	c3
1.174	0.613	c3
1.156	0.607	c3
1.138	0.6	c3
1.121	0.594	c3
1.105	0.588	c3
1.089	0.582	c3
1.074	0.576	c3
1.058	0.57	c3
1.043	0.564	c3
1.026	0.562	c3
1.009	0.555	c3
0.989	0.549	c3
0.733	0.539	c2
0.711	0.54	c2
0.679	0.53	c2
0.658	0.521	c2
0.65	0.515	c2
0.644	0.509	c2
0.639	0.504	c2
0.86	0.504	c2
0.859	0.496	c2
0.861	0.491	c2
0.865	0.491	c2
0.865	0.491	c2
0.865	0.49	c2
0.865	0.49	c2
0.865	0.489	c2
0.865	0.488	c2
0.868	0.487	c2
0.867	0.486	c2
0.87	0.485	c2
0.869	0.485	c2
0.74	0.484	c2
0.74	0.483	c2
0.861	0.482	c2
0.859	0.48	c2
0.857	0.478	c2
0.853	0.477	c2
0.85	0.475	c2
0.852	0.474	c2
0.852	0.472	c2
0.851	0.47	c2
0.854	0.467	c2
0.857	0.465	c2
0.873	0.462	c2
1.491	0.46	c1
1.202	0.458	c1
1.201	0.456	c1
1.2	0.455	c1
1.198	0.454	c1
1.198	0.455	c1
1.198	0.455	c1
1.197	0.456	c1
1.198	0.456	c1
1.191	0.457	c1
1.186	0.458	c1
1.567	0.459	c1
1.208	0.461	c1
1.553	0.462	c1
1.191	0.464	c1
1.535	0.465	c1
1.528	0.466	c1
1.519	0.468	c1
1.512	0.47	c1
1.416	0.471	c1
1.522	0.473	c1
1.475	0.476	c1
1.487	0.478	c1
1.473	0.48	c1
1.472	0.483	c1
1.459	0.486	c1
1.462	0.489	c1
1.34	0.491	c1
1.335	0.494	c1
1.421	0.497	c3
1.421	0.5	c3
1.414	0.504	c3
1.404	0.507	c3
1.393	0.511	c3
1.381	0.515	c3
1.368	0.52	c3
1.353	0.526	c3
1.309	0.531	c3
1.293	0.538	c3
1.273	0.545	c3
1.287	0.551	c3
1.269	0.559	c3
1.22	0.566	c3
1.202	0.574	c3
1.183	0.581	c3
1.165	0.589	c3
1.143	0.597	c3
1.128	0.604	c3
1.106	0.612	c3
1.09	0.619	c3
1.068	0.627	c3
1.049	0.635	c3
1.03	0.642	c3
1.012	0.65	c3
0.994	0.657	c3
0.975	0.664	c3
0.957	0.672	c3
0.942	0.679	c3
1.173	0.686	c3
1.16	0.695	c3
1.148	0.702	c3
1.139	0.707	c3
1.128	0.702	c3
1.126	0.704	c3
1.473	0.71	c3
1.454	0.713	c3
1.434	0.719	c3
1.412	0.726	c3
1.063	0.733	c3
1.05	0.741	c3
1.04	0.748	c3
1.03	0.756	c3
1.021	0.763	c3
1.011	0.771	c3
0.642	0.778	c2
0.622	0.786	c2
0.606	0.793	c2
0.589	0.801	c2
0.574	0.805	c2
0.559	0.807	c2
0.547	0.797	c2
0.541	0.786	c2
0.549	0.784	c2
0.983	0.78	c3
0.984	0.78	c3
0.983	0.78	c3
0.983	0.78	c3
0.981	0.78	c3
0.98	0.78	c3
0.979	0.779	c3
0.978	0.779	c3
0.978	0.779	c3
0.977	0.779	c3
0.976	0.778	c3
0.974	0.778	c3
0.972	0.777	c3
0.968	0.777	c3
0.961	0.776	c3
0.952	0.775	c3
0.937	0.773	c3
0.924	0.775	c3
0.91	0.774	c3
0.895	0.773	c2
0.88	0.779	c2
0.864	0.779	c2
0.847	0.779	c2
0.832	0.778	c2
0.817	0.775	c2
0.804	0.771	c2
0.793	0.771	c2
0.792	0.769	c2
0.789	0.768	c2
0.791	0.767	c2
0.792	0.766	c2
0.792	0.766	c2
0.792	0.765	c2
0.791	0.765	c2
0.79	0.764	c2
0.791	0.766	c2
0.79	0.766	c2
0.79	0.769	c2
0.789	0.872	c2
