number_of_features: 4
f1: sepal_length
f2: sepal_width
f3: petal_length
f4: petal_width

number_of_classes: 3
c1: setosa
c2: versicolor
c3: virginica

number_of_samples: 150
f1	f2	f3	f4	class
5.1	3.5	1.4	0.2	c1
4.9	3.0	1.4	0.2	c1
4.7	3.2	1.3	0.2	c1
4.6	3.1	1.5	0.2	c1
5.0	3.6	1.4	0.2	c1
5.4	3.9	1.7	0.4	c1
4.6	3.4	1.4	0.3	c1
5.0	3.4	1.5	0.2	c1
4.4	2.9	1.4	0.2	c1
4.9	3.1	1.5	0.1	c1
5.4	3.7	1.5	0.2	c1
4.8	3.4	1.6	0.2	c1
4.8	3.0	1.4	0.1	c1
4.3	3.0	1.1	0.1	c1
5.8	4.0	1.2	0.2	c1
5.7	4.4	1.5	0.4	c1
5.4	3.9	1.3	0.4	c1
5.1	3.5	1.4	0.3	c1
5.7	3.8	1.7	0.3	c1
5.1	3.8	1.5	0.3	c1
5.4	3.4	1.7	0.2	c1
5.1	3.7	1.5	0.4	c1
4.6	3.6	1.0	0.2	c1
5.1	3.3	1.7	0.5	c1
4.8	3.4	1.9	0.2	c1
5.0	3.0	1.6	0.2	c1
5.0	3.4	1.6	0.4	c1
5.2	3.5	1.5	0.2	c1
5.2	3.4	1.4	0.2	c1
4.7	3.2	1.6	0.2	c1
4.8	3.1	1.6	0.2	c1
5.4	3.4	1.5	0.4	c1
5.2	4.1	1.5	0.1	c1
5.5	4.2	1.4	0.2	c1
4.9	3.1	1.5	0.1	c1
5.0	3.2	1.2	0.2	c1
5.5	3.5	1.3	0.2	c1
4.9	3.1	1.5	0.1	c1
4.4	3.0	1.3	0.2	c1
5.1	3.4	1.5	0.2	c1
5.0	3.5	1.3	0.3	c1
4.5	2.3	1.3	0.3	c1
4.4	3.2	1.3	0.2	c1
5.0	3.5	1.6	0.6	c1
5.1	3.8	1.9	0.4	c1
4.8	3.0	1.4	0.3	c1
5.1	3.8	1.6	0.2	c1
4.6	3.2	1.4	0.2	c1
5.3	3.7	1.5	0.2	c1
5.0	3.3	1.4	0.2	c1
7.0	3.2	4.7	1.4	c2
6.4	3.2	4.5	1.5	c2
6.9	3.1	4.9	1.5	c2
5.5	2.3	4.0	1.3	c2
6.5	2.8	4.6	1.5	c2
5.7	2.8	4.5	1.3	c2
6.3	3.3	4.7	1.6	c2
4.9	2.4	3.3	1.0	c2
6.6	2.9	4.6	1.3	c2
5.2	2.7	3.9	1.4	c2
5.0	2.0	3.5	1.0	c2
5.9	3.0	4.2	1.5	c2
6.0	2.2	4.0	1.0	c2
6.1	2.9	4.7	1.4	c2
5.6	2.9	3.6	1.3	c2
6.7	3.1	4.4	1.4	c2
5.6	3.0	4.5	1.5	c2
5.8	2.7	4.1	1.0	c2
6.2	2.2	4.5	1.5	c2
5.6	2.5	3.9	1.1	c2
5.9	3.2	4.8	1.8	c2
6.1	2.8	4.0	1.3	c2
6.3	2.5	4.9	1.5	c2
6.1	2.8	4.7	1.2	c2
6.4	2.9	4.3	1.3	c2
6.6	3.0	4.4	1.4	c2
6.8	2.8	4.8	1.4	c2
6.7	3.0	5.0	1.7	c2
6.0	2.9	4.5	1.5	c2
5.7	2.6	3.5	1.0	c2
5.5	2.4	3.8	1.1	c2
5.5	2.4	3.7	1.0	c2
5.8	2.7	3.9	1.2	c2
6.0	2.7	5.1	1.6	c2
5.4	3.0	4.5	1.5	c2
6.0	3.4	4.5	1.6	c2
6.7	3.1	4.7	1.5	c2
6.3	2.3	4.4	1.3	c2
5.6	3.0	4.1	1.3	c2
5.5	2.5	4.0	1.3	c2
5.5	2.6	4.4	1.2	c2
6.1	3.0	4.6	1.4	c2
5.8	2.6	4.0	1.2	c2
5.0	2.3	3.3	1.0	c2
5.6	2.7	4.2	1.3	c2
5.7	3.0	4.2	1.2	c2
5.7	2.9	4.2	1.3	c2
6.2	2.9	4.3	1.3	c2
5.1	2.5	3.0	1.1	c2
5.7	2.8	4.1	1.3	c2
6.3	3.3	6.0	2.5	c3
5.8	2.7	5.1	1.9	c3
7.1	3.0	5.9	2.1	c3
6.3	2.9	5.6	1.8	c3
6.5	3.0	5.8	2.2	c3
7.6	3.0	6.6	2.1	c3
4.9	2.5	4.5	1.7	c3
7.3	2.9	6.3	1.8	c3
6.7	2.5	5.8	1.8	c3
7.2	3.6	6.1	2.5	c3
6.5	3.2	5.1	2.0	c3
6.4	2.7	5.3	1.9	c3
6.8	3.0	5.5	2.1	c3
