number_of_features: 4
f1: sensor reading 1
f2: sensor reading 2
f3: sensor reading 3
f4: sensor reading 4
				
number_of_classes: 4
c1: Slight-Right-Turn
c2: Sharp-Right-Turn
c3: Move-Forward
c4: Slight-Left-Turn
				
number_of_samples: 5456
f1	f2	f3	f4	class
1.687	0.445	2.332	0.429	c1
1.687	0.449	2.332	0.429	c1
1.687	0.449	2.334	0.429	c1
1.687	0.449	2.334	0.429	c1
1.687	0.449	2.334	0.429	c1
1.686	0.446	2.334	0.43	c1
1.684	0.451	2.33	0.432	c1
1.68	0.453	2.327	0.436	c1
0.753	0.457	2.323	0.442	c2
0.744	0.462	2.321	0.449	c2
0.735	0.467	2.315	0.457	c2
0.729	0.469	2.31	0.465	c2
0.723	0.477	2.303	0.472	c2
0.757	0.48	2.304	0.476	c2
0.76	0.483	2.306	0.476	c2
0.757	0.482	2.307	0.474	c2
0.761	0.482	1.7	0.473	c2
0.762	0.482	1.697	0.473	c2
0.765	0.482	1.697	0.473	c2
0.812	0.481	1.702	0.473	c2
0.814	0.48	1.7	0.473	c2
0.811	0.479	1.698	0.473	c2
0.908	0.478	1.7	0.473	c1
1.27	0.477	1.705	0.473	c1
1.639	0.476	1.707	0.47	c1
1.638	0.475	1.712	0.465	c1
1.637	0.474	1.715	0.465	c1
1.636	0.475	1.707	0.47	c1
1.635	0.475	1.706	0.468	c1
1.635	0.475	1.706	0.468	c1
1.635	0.475	1.709	0.468	c1
1.635	0.475	1.709	0.468	c1
1.633	0.475	1.707	0.469	c1
1.629	0.474	1.708	0.471	c1
1.624	0.473	1.704	0.474	c1
1.618	0.473	1.695	0.478	c1
1.611	0.473	2.596	0.483	c1
1.609	0.472	2.589	0.488	c1
1.603	0.471	1.682	0.494	c1
0.576	0.471	1.67	0.5	c2
1.581	0.471	1.662	0.506	c1
1.572	0.471	1.654	0.513	c1
1.562	0.47	1.646	0.523	c1
1.553	0.47	1.637	0.53	c1
1.179	0.47	1.631	0.534	c1
1.167	0.47	2.541	0.545	c1
1.159	0.471	2.535	0.552	c1
1.151	0.471	2.529	0.582	c1
1.143	0.471	2.526	0.582	c1
1.136	0.471	2.523	0.578	c1
1.128	0.472	2.518	0.588	c1
1.477	0.472	2.508	0.585	c1
1.129	0.473	2.502	0.589	c1
1.457	0.473	2.502	0.597	c1
1.448	0.474	2.901	0.605	c1
1.438	0.475	2.895	0.613	c1
1.428	0.486	2.89	0.617	c1
1.418	0.485	2.885	0.629	c1
1.409	0.486	2.879	0.575	c1
1.399	0.485	2.876	0.578	c1
1.39	0.486	2.871	0.65	c1
1.38	0.487	2.862	0.658	c1
1.37	0.489	2.857	0.666	c1
1.361	0.491	2.852	0.674	c1
1.354	0.494	2.849	0.683	c1
1.344	0.496	2.843	0.692	c3
1.33	0.498	2.836	0.701	c3
1.32	0.499	2.83	0.71	c3
1.31	0.501	2.824	0.719	c3
1.298	0.504	2.816	0.73	c3
1.285	0.507	2.81	0.742	c3
1.271	0.511	2.8	0.756	c3
1.256	0.515	2.789	0.771	c3
1.239	0.52	2.777	0.787	c3
1.223	0.525	2.766	0.807	c3
1.206	0.53	2.753	0.611	c3
1.188	0.535	2.741	0.621	c3
1.17	0.541	2.727	0.859	c3
1.152	0.548	2.713	0.878	c3
1.133	0.554	2.699	0.897	c3
1.114	0.56	2.685	0.917	c3
1.094	0.567	2.671	0.937	c3
1.075	0.573	2.656	0.956	c3
1.056	0.58	2.643	0.975	c3
1.037	0.586	2.629	0.994	c3
1.019	0.593	2.612	1.013	c3
1.001	0.599	2.599	1.031	c3
0.983	0.606	2.586	1.052	c3
0.966	0.612	2.573	1.071	c3
0.948	0.619	2.561	1.088	c3
0.931	0.625	2.548	1.106	c3
0.914	0.632	2.536	1.123	c3
0.898	0.638	2.524	1.137	c2
0.881	0.645	2.511	1.155	c2
0.864	0.652	2.499	1.172	c2
0.847	0.658	2.487	1.193	c2
0.83	0.66	2.475	1.211	c2
0.815	0.662	2.464	1.226	c2
0.801	0.667	2.454	1.241	c2
0.792	0.67	2.45	1.249	c2
0.792	0.665	2.452	1.248	c2
0.795	0.666	2.469	1.241	c2
0.796	0.665	2.491	1.239	c2
0.796	0.665	2.495	1.239	c2
0.796	0.665	2.484	1.24	c2
0.799	0.664	2.478	1.239	c2
0.799	0.664	2.463	1.239	c2
0.798	0.664	2.467	1.239	c2
0.799	0.664	2.464	1.239	c2
0.798	0.663	2.469	1.242	c2
0.797	0.666	2.741	0.719	c2
0.792	0.671	1.354	0.717	c2
0.791	0.684	1.353	0.714	c2
0.79	0.674	1.353	0.733	c2
0.789	0.66	2.749	0.732	c2
0.788	0.66	2.747	0.805	c2
0.787	0.659	2.749	0.696	c2
0.786	0.661	2.748	0.689	c2
0.785	0.665	1.353	0.766	c2
0.788	0.717	1.346	0.74	c2
0.787	0.833	1.346	0.677	c2
0.79	0.779	1.345	0.67	c2
0.814	0.668	1.342	0.667	c2
0.807	0.809	1.342	0.661	c2
0.786	0.805	1.34	0.659	c2
0.785	0.804	1.347	0.647	c2
0.787	0.854	1.303	0.647	c2
0.791	0.8	1.353	0.646	c2
0.794	0.786	1.347	0.639	c2
0.814	0.78	1.345	0.636	c2
0.88	0.776	1.346	0.632	c2
1.593	0.774	1.347	0.627	c3
1.593	0.77	1.349	0.626	c3
1.593	0.765	1.351	0.625	c3
1.593	0.765	1.353	0.624	c3
1.592	0.763	1.355	0.625	c3
1.591	0.763	1.355	0.627	c3
1.59	0.763	1.351	0.628	c3
1.588	0.763	1.352	0.63	c3
1.586	0.758	1.357	0.634	c3
1.576	0.759	1.356	0.641	c3
1.566	0.753	1.362	0.65	c3
1.555	0.751	1.367	0.662	c3
0.932	0.745	1.373	0.675	c3
1.525	0.739	1.379	0.689	c3
1.508	0.733	1.385	0.705	c3
1.494	0.727	1.391	0.722	c3
1.473	0.721	1.397	0.739	c3
1.454	0.715	1.403	0.757	c3
1.438	0.707	1.409	0.776	c3
1.419	0.7	1.415	0.795	c3
1.399	0.694	1.425	0.814	c3
1.379	0.69	1.432	0.834	c3
1.358	0.683	1.438	0.854	c3
1.338	0.673	1.445	0.874	c3
1.317	0.666	1.453	0.895	c3
0.891	0.663	1.464	0.915	c2
1.276	0.652	1.472	0.936	c3
1.255	0.645	1.526	0.956	c3
1.233	0.638	1.538	0.976	c3
1.212	0.627	1.547	0.996	c3
1.193	0.623	1.555	1.015	c3
1.174	0.613	1.561	1.034	c3
1.156	0.607	1.573	1.052	c3
1.138	0.6	1.584	1.07	c3
1.121	0.594	3.117	1.087	c3
1.105	0.588	3.114	1.103	c3
1.089	0.582	1.61	1.119	c3
1.074	0.576	2.367	1.135	c3
1.058	0.57	3.133	1.15	c3
1.043	0.564	2.369	1.166	c3
1.026	0.562	3.141	1.183	c3
1.009	0.555	3.158	1.2	c3
0.989	0.549	2.4	1.218	c3
0.733	0.539	2.399	1.236	c2
0.711	0.54	3.166	1.255	c2
0.679	0.53	3.176	1.272	c2
0.658	0.521	3.199	1.291	c2
0.65	0.515	3.185	1.309	c2
0.644	0.509	3.191	1.325	c2
0.639	0.504	3.194	1.34	c2
0.86	0.504	3.201	1.348	c2
0.859	0.496	3.203	1.351	c2
0.861	0.491	2.43	1.349	c2
0.865	0.491	3.208	1.345	c2
0.865	0.491	3.208	1.345	c2
0.865	0.49	2.425	1.345	c2
0.865	0.49	3.206	1.345	c2
0.865	0.489	3.207	1.345	c2
0.865	0.488	3.207	1.347	c2
0.868	0.487	3.205	1.344	c2
0.867	0.486	3.205	1.343	c2
0.87	0.485	3.206	1.343	c2
0.869	0.485	3.206	1.343	c2
0.74	0.484	3.206	1.343	c2
0.74	0.483	3.207	1.342	c2
0.861	0.482	3.208	1.341	c2
0.859	0.48	3.209	1.341	c2
0.857	0.478	1.811	1.341	c2
0.853	0.477	1.794	1.341	c2
0.85	0.475	2.277	1.342	c2
0.852	0.474	3.218	1.341	c2
0.852	0.472	1.924	1.348	c2
0.851	0.47	1.923	1.345	c2
0.854	0.467	1.921	1.345	c2
0.857	0.465	1.921	1.088	c2
0.873	0.462	1.826	1.085	c2
1.491	0.46	1.768	1.08	c1
1.202	0.458	1.763	1.073	c1
1.201	0.456	1.829	1.04	c1
1.2	0.455	1.926	1.033	c1
1.198	0.454	1.836	1.033	c1
1.198	0.455	1.924	1.034	c1
1.198	0.455	1.835	1.035	c1
1.197	0.456	1.835	1.039	c1
1.198	0.456	1.926	1.042	c1
1.191	0.457	1.928	1.043	c1
1.186	0.458	1.898	0.553	c1
