number_of_features: 4
f1: Left-Weight
f2: Left-Distance
f3: Right-Weight
f4: Right-Distance

number_of_classes: 3
c1: Left
c2: Right
c3: Balanced

number_of_samples: 625
f1	f2	f3	f4	class
1	1	1	1	c3
1	1	1	2	c2
1	1	1	3	c2
1	1	1	4	c2
1	1	1	5	c2
1	1	2	1	c2
1	1	2	2	c2
1	1	2	3	c2
1	1	2	4	c2
1	1	2	5	c2
1	1	3	1	c2
1	1	3	2	c2
1	1	3	3	c2
1	1	3	4	c2
1	1	3	5	c2
1	1	4	1	c2
1	1	4	2	c2
1	1	4	3	c2
1	1	4	4	c2
1	1	4	5	c2
1	1	5	1	c2
1	1	5	2	c2
1	1	5	3	c2
1	1	5	4	c2
1	1	5	5	c2
1	2	1	1	c1
1	2	1	2	c3
1	2	1	3	c2
1	2	1	4	c2
1	2	1	5	c2
1	2	2	1	c3
1	2	2	2	c2
1	2	2	3	c2
1	2	2	4	c2
1	2	2	5	c2
1	2	3	1	c2
1	2	3	2	c2
1	2	3	3	c2
1	2	3	4	c2
1	2	3	5	c2
1	2	4	1	c2
1	2	4	2	c2
1	2	4	3	c2
1	2	4	4	c2
1	2	4	5	c2
1	2	5	1	c2
1	2	5	2	c2
1	2	5	3	c2
1	2	5	4	c2
1	2	5	5	c2
1	3	1	1	c1
1	3	1	2	c1
1	3	1	3	c3
1	3	1	4	c2
1	3	1	5	c2
1	3	2	1	c1
1	3	2	2	c2
1	3	2	3	c2
1	3	2	4	c2
1	3	2	5	c2
1	3	3	1	c3
1	3	3	2	c2
1	3	3	3	c2
1	3	3	4	c2
1	3	3	5	c2
1	3	4	1	c2
1	3	4	2	c2
1	3	4	3	c2
1	3	4	4	c2
1	3	4	5	c2
1	3	5	1	c2
1	3	5	2	c2
1	3	5	3	c2
1	3	5	4	c2
1	3	5	5	c2
1	4	1	1	c1
1	4	1	2	c1
1	4	1	3	c1
1	4	1	4	c3
1	4	1	5	c2
1	4	2	1	c1
1	4	2	2	c3
1	4	2	3	c2
1	4	2	4	c2
1	4	2	5	c2
1	4	3	1	c1
1	4	3	2	c2
1	4	3	3	c2
1	4	3	4	c2
1	4	3	5	c2
1	4	4	1	c3
1	4	4	2	c2
1	4	4	3	c2
1	4	4	4	c2
1	4	4	5	c2
1	4	5	1	c2
1	4	5	2	c2
1	4	5	3	c2
1	4	5	4	c2
1	4	5	5	c2
1	5	1	1	c1
1	5	1	2	c1
1	5	1	3	c1
1	5	1	4	c1
1	5	1	5	c3
1	5	2	1	c1
1	5	2	2	c1
1	5	2	3	c2
1	5	2	4	c2
1	5	2	5	c2
1	5	3	1	c1
1	5	3	2	c2
1	5	3	3	c2
1	5	3	4	c2
1	5	3	5	c2
1	5	4	1	c1
1	5	4	2	c2
1	5	4	3	c2
1	5	4	4	c2
1	5	4	5	c2
1	5	5	1	c3
1	5	5	2	c2
1	5	5	3	c2
1	5	5	4	c2
1	5	5	5	c2
2	1	1	1	c1
2	1	1	2	c3
2	1	1	3	c2
2	1	1	4	c2
2	1	1	5	c2
2	1	2	1	c3
2	1	2	2	c2
2	1	2	3	c2
2	1	2	4	c2
2	1	2	5	c2
2	1	3	1	c2
2	1	3	2	c2
2	1	3	3	c2
2	1	3	4	c2
2	1	3	5	c2
2	1	4	1	c2
2	1	4	2	c2
2	1	4	3	c2
2	1	4	4	c2
2	1	4	5	c2
2	1	5	1	c2
2	1	5	2	c2
