number_of_features: 6
f1: buying
f2: maint
f3: doors
f4: persons
f5: lug_boot
f6: safety

number_of_classes: 4
c1: unacc
c2: acc
c3: good
c4: v-good

number_of_samples: 1728
f1	f2	f3	f4	f5	f6	class
4	4	2	2	1	1	c1
4	4	2	2	1	2	c1
4	4	2	2	1	3	c1
4	4	2	2	2	1	c1
4	4	2	2	2	2	c1
4	4	2	2	2	3	c1
4	4	2	2	3	1	c1
4	4	2	2	3	2	c1
4	4	2	2	3	3	c1
4	4	2	4	1	1	c1
4	4	2	4	1	2	c1
4	4	2	4	1	3	c1
4	4	2	4	2	1	c1
4	4	2	4	2	2	c1
4	4	2	4	2	3	c1
4	4	2	4	3	1	c1
4	4	2	4	3	2	c1
4	4	2	4	3	3	c1
4	4	2	5	1	1	c1
4	4	2	5	1	2	c1
4	4	2	5	1	3	c1
4	4	2	5	2	1	c1
4	4	2	5	2	2	c1
4	4	2	5	2	3	c1
4	4	2	5	3	1	c1
4	4	2	5	3	2	c1
4	4	2	5	3	3	c1
4	4	3	2	1	1	c1
4	4	3	2	1	2	c1
4	4	3	2	1	3	c1
4	4	3	2	2	1	c1
4	4	3	2	2	2	c1
4	4	3	2	2	3	c1
4	4	3	2	3	1	c1
4	4	3	2	3	2	c1
4	4	3	2	3	3	c1
4	4	3	4	1	1	c1
4	4	3	4	1	2	c1
4	4	3	4	1	3	c1
4	4	3	4	2	1	c1
4	4	3	4	2	2	c1
4	4	3	4	2	3	c1
4	4	3	4	3	1	c1
4	4	3	4	3	2	c1
4	4	3	4	3	3	c1
4	4	3	5	1	1	c1
4	4	3	5	1	2	c1
4	4	3	5	1	3	c1
4	4	3	5	2	1	c1
4	4	3	5	2	2	c1
4	4	3	5	2	3	c1
4	4	3	5	3	1	c1
4	4	3	5	3	2	c1
4	4	3	5	3	3	c1
4	4	4	2	1	1	c1
4	4	4	2	1	2	c1
4	4	4	2	1	3	c1
4	4	4	2	2	1	c1
4	4	4	2	2	2	c1
4	4	4	2	2	3	c1
4	4	4	2	3	1	c1
4	4	4	2	3	2	c1
4	4	4	2	3	3	c1
4	4	4	4	1	1	c1
4	4	4	4	1	2	c1
4	4	4	4	1	3	c1
4	4	4	4	2	1	c1
4	4	4	4	2	2	c1
4	4	4	4	2	3	c1
4	4	4	4	3	1	c1
4	4	4	4	3	2	c1
4	4	4	4	3	3	c1
4	4	4	5	1	1	c1
4	4	4	5	1	2	c1
4	4	4	5	1	3	c1
4	4	4	5	2	1	c1
4	4	4	5	2	2	c1
4	4	4	5	2	3	c1
4	4	4	5	3	1	c1
4	4	4	5	3	2	c1
4	4	4	5	3	3	c1
4	4	5	2	1	1	c1
4	4	5	2	1	2	c1
4	4	5	2	1	3	c1
4	4	5	2	2	1	c1
4	4	5	2	2	2	c1
4	4	5	2	2	3	c1
4	4	5	2	3	1	c1
4	4	5	2	3	2	c1
4	4	5	2	3	3	c1
4	4	5	4	1	1	c1
4	4	5	4	1	2	c1
4	4	5	4	1	3	c1
4	4	5	4	2	1	c1
4	4	5	4	2	2	c1
4	4	5	4	2	3	c1
4	4	5	4	3	1	c1
4	4	5	4	3	2	c1
4	4	5	4	3	3	c1
4	4	5	5	1	1	c1
4	4	5	5	1	2	c1
4	4	5	5	1	3	c1
4	4	5	5	2	1	c1
4	4	5	5	2	2	c1
4	4	5	5	2	3	c1
4	4	5	5	3	1	c1
4	4	5	5	3	2	c1
4	4	5	5	3	3	c1
4	3	2	2	1	1	c1
4	3	2	2	1	2	c1
4	3	2	2	1	3	c1
4	3	2	2	2	1	c1
4	3	2	2	2	2	c1
4	3	2	2	2	3	c1
4	3	2	2	3	1	c1
4	3	2	2	3	2	c1
4	3	2	2	3	3	c1
4	3	2	4	1	1	c1
4	3	2	4	1	2	c1
4	3	2	4	1	3	c1
4	3	2	4	2	1	c1
4	3	2	4	2	2	c1
4	3	2	4	2	3	c1
4	3	2	4	3	1	c1
4	3	2	4	3	2	c1
4	3	2	4	3	3	c1
4	3	2	5	1	1	c1
4	3	2	5	1	2	c1
4	3	2	5	1	3	c1
4	3	2	5	2	1	c1
4	3	2	5	2	2	c1
4	3	2	5	2	3	c1
4	3	2	5	3	1	c1
4	3	2	5	3	2	c1
4	3	2	5	3	3	c1
4	3	3	2	1	1	c1
4	3	3	2	1	2	c1
4	3	3	2	1	3	c1
4	3	3	2	2	1	c1
4	3	3	2	2	2	c1
4	3	3	2	2	3	c1
4	3	3	2	3	1	c1
4	3	3	2	3	2	c1
4	3	3	2	3	3	c1
4	3	3	4	1	1	c1
4	3	3	4	1	2	c1
4	3	3	4	1	3	c1
4	3	3	4	2	1	c1
4	3	3	4	2	2	c1
4	3	3	4	2	3	c1
4	3	3	4	3	1	c1
4	3	3	4	3	2	c1
4	3	3	4	3	3	c1
4	3	3	5	1	1	c1
4	3	3	5	1	2	c1
4	3	3	5	1	3	c1
4	3	3	5	2	1	c1
4	3	3	5	2	2	c1
4	3	3	5	2	3	c1
4	3	3	5	3	1	c1
4	3	3	5	3	2	c1
4	3	3	5	3	3	c1
4	3	4	2	1	1	c1
4	3	4	2	1	2	c1
4	3	4	2	1	3	c1
4	3	4	2	2	1	c1
4	3	4	2	2	2	c1
4	3	4	2	2	3	c1
4	3	4	2	3	1	c1
4	3	4	2	3	2	c1
4	3	4	2	3	3	c1
4	3	4	4	1	1	c1
4	3	4	4	1	2	c1
4	3	4	4	1	3	c1
4	3	4	4	2	1	c1
4	3	4	4	2	2	c1
4	3	4	4	2	3	c1
4	3	4	4	3	1	c1
